款,項,目,節,説明,R6,R7
,,工業振興費,,,27022000,49141000
,,,報償費,"備考 001 工業振興費 49,141",,2012000
,,,工業振興費,,,49141000
,,商業振興費,,,52135000,38156000
,,,報償費40001商業振興費,,,22028000
,,交流観光費,,,252044000,253186000
,,,報酬,"備考 001 給与費 5,139",,3659000
,,,給与費,,,5139000
,,計量費,,,102000,1507000
,,,報償費10001計量費,,,1507000
,,新富士駅施,,,5879000,6471000
,,,需用費,"備考 001 新富士駅施設管理費 6,471",,3758000
,,,新富士駅施設管理費,,,6471000
土木費,,,,,,12237243000
,土木管理費,,,,,452694000
,,土木総務費,,,402874000,433350000
,,,報酬,"備考 001 給与費 344,908",,6858000
,,,給与費,,,344908000
,,施設建築費,,,3578000,2544000
,,,旅費,"備考 001 施設建築費 2,139",,266000
,,,施設建築費,,,2139000
,,急傾斜地崩,,,16800000,16800000
,,,工事請負費,"備考 001 急傾斜地整備事業費 16,800",,1800000
,,,急傾斜地整備事業費,,,16800000
,道路橋梁費,,,,,2250463000
,,道路橋梁総,,,170553000,172906000
,,,報酬,"備考 001 給与費 160,648",,9309000
,,,給与費,,,160648000
,,幹線道路整,,,584804000,370041000
,,,給料,"備考 001 給与費 44,826",,22519000
,,,給与費,,,44826000
,,生活道路整,,,210285000,226277000
,,,給料,"備考 001 給与費 56,316",,27783000
,,,給与費,,,56316000
,,橋梁維持費,,,200100000,252128000
,,,報酬,"備考 001 給与費 7,201",,4875000
,,,給与費,,,7201000
,,橋梁新設改,,,200000000,134000000
,,,工事請負費,"備考 001 橋梁新設改良費 134,000",,43300000
,,,橋梁新設改良費,,,134000000
,河川費,,,,,925891000
,,河川総務費,,,107008000,103486000
,,,報酬,"備考 001 給与費 94,495",,4646000
,,,給与費,,,94495000
,,河川維持費,,,324024000,327017000
,,,報償費,備考 001 事業事務費 193,,574000
,,,事業事務費,,,193000
,,河川改良費,,,533299000,492399000
,,,給料,"備考 001 給与費 77,568",,38713000
,,,給与費,,,77568000
,,都市下水路,,,4484000,2989000
,,,需用費23001都市下水路維持修繕費,,,2989000
,港湾費,,,,,205543000
,,港湾整備費,,,179005000,205543000
,,,報償費,"備考 001 港湾振興費 36,025",,900000
,,,港湾振興費,,,36025000
,都市計画費,,,,,4986333000
,,都市計画総,,,290672000,300145000
,,,報酬,"備考 001 給与費 281,700",,2167000
,,,給与費,,,281700000
,,まちづくり,,,320095000,387394000
,,,報酬,備考 001 給与費 460,,460000
,,,給与費,,,460000
,,街路事業費,,,677736000,872304000
,,,報酬,"備考 001 給与費 105,849",,5465000
,,,給与費,,,105849000
,,市街地整備,,,1151078000,3128864000
,,,報酬,"備考 001 給与費 91,861",,1947000
,,,給与費,,,91861000
,,建築指導費,,,255421000,289005000
,,,報酬,"備考 001 給与費 9,259",,6440000
,,,給与費,,,9259000
,,土地対策費,,,6602000,8621000
,,,報酬,"備考 001 給与費 4,192",,2905000
,,,給与費,,,4192000
,公園費,,,,,1217960000
,,公園整備費,,,586434000,615840000
,,,給料,"備考 001 給与費 150,608",,76872000
,,,給与費,,,150608000
,,公園維持修,,,575236000,560927000
,,,報酬,"備考 001 給与費 7,261",,4858000
,,,給与費,,,7261000
,,緑化推進費,,,36157000,41193000
,,,報酬,備考 001 給与費 696,,696000
,,,給与費,,,696000
,下水道費,,,,,1792075000
,住宅費,,,,,406284000
,,住宅管理費,,,366956000,366335000
,,,給料,"備考 001 給与費 87,142",,43185000
,,,給与費,,,87142000
,,住宅政策費,,,41984000,39949000
,,,報酬,"備考 001 給与費 3,245",,2363000
,,,給与費,,,3245000
消防費,,,,,,3781176000
,消防費,,,,,3781176000
,,常備消防費,,,2866457000,3022485000
,,,報酬,"備考 001 給与費 2,542,566",,7006000
,,,給与費,,,2542566000
,,非常備消防,,,153857000,167333000
,,,報酬,"備考 001 給与費 66,490",,66490000
,,,給与費,,,66490000
,,消防施設費,,,195051000,410009000
,,,旅費60001消防施設整備費,,,377008000
,,水防費,,,22681000,15835000
,,,報酬,"備考 001 給与費 4,631",,4631000
,,,給与費,,,4631000
,,防災費,,,205683000,165514000
,,,報酬,"備考 001 給与費 15,516",,2777000
,,,給与費,,,15516000
教育費,,,,,,17016181000
,教育総務費,,,,,1302599000
,,教育委員会,,,4336000,5486000
,,,報酬,"備考 001 給与費 3,774",,3774000
,,,給与費,,,3774000
,,事務局費,,,794585000,888546000
,,,報酬,"備考 001 給与費 640,005",,23517000
,,,給与費,,,640005000
,,学校教育指,,,199461000,210131000
,,,報酬,"備考 001 給与費 171,159",,149724000
,,,給与費,,,171159000
,,特別支援教,,,157100000,171585000
,,,報酬,"備考 001 給与費 163,069",,137316000
,,,給与費,,,163069000
,,育英奨学費,,,10098000,10118000
,,教育プラザ,,,16379000,16733000
,,,需用費,"備考 001 教育プラザ管理費 16,733",,5298000
,,,教育プラザ管理費,,,16733000
,小学校費,,,,,1754884000
,,小学校管理,,,762208000,836508000
,,,報酬,"備考 001 給与費 166,321",,112218000
,,,給与費,,,166321000
,,小学校教育,,,339299000,336946000
,,,報酬,"備考 001 給与費 33,740",,27659000
,,,給与費,,,33740000
,,小学校建設,,,1113936000,581430000
,,,需用費,"備考 001 小学校施設整備費 581,430",,284360000
,,,小学校施設整備費,,,581430000
,中学校費,,,,,1666287000
,,中学校管理,,,471576000,537052000
,,,報酬,"備考 001 給与費 94,843",,64052000
,,,給与費,,,94843000
,,中学校教育,,,221263000,221904000
,,,報酬,"備考 001 給与費 19,679",,15782000
,,,給与費,,,19679000
,,中学校建設,,,681983000,907331000
,,,需用費,"備考 001 中学校施設整備費 907,331",,282629000
,,,中学校施設整備費,,,907331000
,高等学校費,,,,,1102580000
,,高等学校総,,,895957000,1102580000
,,,報酬,"備考 001 給与費 678,940",,42971000
,,,給与費,,,678940000
,幼稚園費,,,,,1065999000
,,幼稚園管理,,,367870000,380392000
,,,報酬,"備考 001 給与費 345,823",,42023000
,,,給与費,,,345823000
,,幼稚園教育,,,763968000,685607000
,,,報償費,"備考 001 幼稚園教育振興費 3,207",,120000
,,,幼稚園教育振興費,,,3207000
,,社会教育総,,,155015000,156458000
,,,報酬,"備考 001 給与費 150,623",,1911000
,,,給与費,,,150623000
,社会教育費,,,,,1928450000
,,生涯学習費,,,41688000,45678000
,,,報酬,"備考 001 給与費 22,570",,15493000
,,,給与費,,,22570000
,,青少年教育,,,17759000,19957000
,,,報酬,"備考 001 給与費 4,043",,2773000
,,,給与費,,,4043000
,,青少年対策,,,50735000,51624000
,,,報酬,"備考 001 給与費 34,049",,24335000
,,,給与費,,,34049000
,,少年自然の,,,51417000,51254000
,,,需用費,"備考 001 少年自然の家管理費 51,254",,1036000
,,,少年自然の家管理費,,,51254000
,,文化振興費,,,115015000,117422000
,,,報酬,"備考 001 給与費 105,633",,2177000
,,,給与費,,,105633000
,,文化会館費,,,683161000,680625000
,,,旅費2001文化会館管理費,,,540625000
,,文化財保護,,,46835000,111533000
,,,報酬,備考 001 給与費 804,,804000
,,,給与費,,,804000
,,文化財発掘,,,60546000,63790000
,,,報酬,"備考 001 給与費 27,557",,18700000
,,,給与費,,,27557000
,,博物館費,,,99252000,94740000
,,,報酬,"備考 001 給与費 55,021",,10901000
,,,給与費,,,55021000
,,図書館費,,,542331000,535369000
,,,報酬,"備考 001 給与費 352,207",,113955000
,,,給与費,,,352207000
,体育保健費,,,,,8195382000
,,体育振興費,,,63528000,84645000
,,,報酬,"備考 001 給与費 66,079",,5828000
,,,給与費,,,66079000
,,体育施設費,,,524657000,841640000
,,総合体育館,,,1858300000,4670659000
,,,旅費24001総合体育館建設費,,,4670654000
,,保健費,,,135431000,136076000
,,,報酬,"備考 001 給与費 45,721",,45721000
,,,給与費,,,45721000
,,学校給食費,,,2292381000,2462362000
,,,報酬,"備考 001 給与費 1,024,289",,296702000
,,,給与費,,,1024289000
災害復旧費,,,,,,52000000
,農林水産業施設災害復旧費,,,,,6000000
,,農業施設災,,,2000000,2000000
,,,需用費,"備考 001 農業施設災害復旧事業費 2,000",,500000
,,,農業施設災害復旧事業費,,,2000000
,,林業施設災,,,4000000,4000000
,,,委託料,"備考 001 林業施設災害復旧事業費 4,000",,1000000
,,,林業施設災害復旧事業費,,,4000000
,土木施設災害復旧費,,,,,46000000
,,土木管理施,,,20000000,36000000
,,,工事請負費,"備考 001 土木管理施設災害復旧事業費 36,000",,36000000
,,,土木管理施設災害復旧事業費,,,36000000
,,河川災害復,,,4000000,4000000
,,,委託料,"備考 001 河川災害復旧事業費 4,000",,1000000
,,,河川災害復旧事業費,,,4000000
公債費,,,,,,7242167000
,公債費,,,,,7242167000
,,元金,,,6706662000,6976323000
,,,償還金、利子,"備考 001 元金 6,976,323",,6976323000
,,,元金,,,6976323000
,,利子,,,232370000,265732000
,,,償還金、利子,"備考 001 利子 265,732",,265732000
,,,利子,,,265732000
,,公債諸費,,,112000,112000
,,,旅費13001公債関係事務費,,,112000
諸支出金,,,,,,100000
,普通財産取得費,,,,,100000
,,土地取得費,,,100000,100000
,,,公有財産購入,備考 001 土地取得費 100,,100000
,,,土地取得費,,,100000
予備費,,,,,,100000000
,予備費,,,,,100000000
,,予備費,,,100000000,100000000
